,from,to
0,6039734,5876745
1,6039734,1570785
2,6039734,7635375
3,6039734,6300454
4,6039734,9444027
5,6039734,2449597
6,6039734,2116985
7,6039734,3823531
8,6039734,1301156
9,6039734,1936377
10,6039734,6260400
11,6039734,6128774
12,6039734,4214419
13,6039734,5460402
14,6039734,6828173
15,6039734,3335969
16,6039734,1427353
17,6039734,4741497
18,6039734,6299956
19,6039734,3544111
20,6039734,5053937
21,6039734,4303195
22,6039734,6803121
23,6039734,2066437
24,6039734,3223948
25,6039734,5471581
26,6039734,6418092
27,6039734,7317438
28,6039734,5743434
29,3061111,5876745
30,3061111,1570785
31,3061111,9659856
32,3061111,2157609
33,3061111,5262646
34,3061111,6620713
35,3061111,2116985
36,3061111,1936377
37,3061111,6260400
38,3061111,4865283
39,3061111,4214419
40,3061111,1289636
41,3061111,1545110
42,3061111,6573559
43,3061111,3335969
44,3061111,1385403
45,3061111,2625914
46,3061111,5403487
47,3061111,6463952
48,3061111,5053937
49,3061111,2045224
50,3061111,4303195
51,3061111,7891838
52,3061111,1353420
53,3061111,8268517
54,3061111,9031847
55,3061111,3223948
56,3061111,6418092
57,3061111,5815978
58,3061111,9612606
59,2805021,3393729
60,2805021,9659856
61,2805021,7358008
62,2805021,2449597
63,2805021,6544671
64,2805021,6859693
65,2805021,4747658
66,2805021,1936377
67,2805021,8847502
68,2805021,9326722
69,2805021,6128774
70,2805021,5460402
71,2805021,1545110
72,2805021,1256084
73,2805021,2706382
74,2805021,4741497
75,2805021,2625914
76,2805021,5403487
77,2805021,1335895
78,2805021,2045224
79,2805021,4303195
80,2805021,5965396
81,2805021,6803121
82,2805021,2066437
83,2805021,9981895
84,2805021,9031847
85,2805021,6418092
86,2805021,5815978
87,2805021,6017591
88,2805021,9612606
89,5424224,1446683
90,5424224,3393729
91,5424224,1570785
92,5424224,6300454
93,5424224,2449597
94,5424224,2116985
95,5424224,4747658
96,5424224,4445414
97,5424224,4865283
98,5424224,9326722
99,5424224,3871556
100,5424224,1289636
101,5424224,5460402
102,5424224,6828173
103,5424224,3335969
104,5424224,2706382
105,5424224,2625914
106,5424224,1335895
107,5424224,2045224
108,5424224,5965396
109,5424224,5132688
110,5424224,6677164
111,5424224,9031847
112,5424224,6418092
113,5424224,2920966
114,5424224,7317438
115,5424224,4356468
116,6585115,1446683
117,6585115,7635375
118,6585115,9659856
119,6585115,7358008
120,6585115,2449597
121,6585115,6544671
122,6585115,4747658
123,6585115,1396671
124,6585115,6480234
125,6585115,1301156
126,6585115,6260400
127,6585115,8847502
128,6585115,6128774
129,6585115,9085992
130,6585115,1289636
131,6585115,1825969
132,6585115,1256084
133,6585115,1427353
134,6585115,2706382
135,6585115,6299956
136,6585115,3544111
137,6585115,6463952
138,6585115,5053937
139,6585115,9733001
140,6585115,7891838
141,6585115,6803121
142,6585115,2066437
143,6585115,9031847
144,6585115,5471581
145,6585115,6017591
146,6585115,9612606
147,6585115,4356468
148,5175150,5876745
149,5175150,5262646
150,5175150,1396671
151,5175150,4445414
152,5175150,8584084
153,5175150,8847502
154,5175150,9085992
155,5175150,1289636
156,5175150,5460402
157,5175150,1256084
158,5175150,4741497
159,5175150,5053937
160,5175150,5965396
161,5175150,7891838
162,5175150,6677164
163,5175150,5471581
164,5175150,7317438
165,3966840,1446683
166,3966840,3393729
167,3966840,6300454
168,3966840,9444027
169,3966840,2116985
170,3966840,6859693
171,3966840,1301156
172,3966840,8584084
173,3966840,8847502
174,3966840,6128774
175,3966840,9085992
176,3966840,5582610
177,3966840,5460402
178,3966840,1825969
179,3966840,6573559
180,3966840,3335969
181,3966840,6062599
182,3966840,1385403
183,3966840,5403487
184,3966840,6463952
185,3966840,9733001
186,3966840,5965396
187,3966840,5132688
188,3966840,1353420
189,3966840,2066437
190,3966840,9981895
191,3966840,3223948
