,from,to
0,6039734,7635375
1,6039734,7358008
2,6039734,5262646
3,6039734,3747072
4,6039734,6620713
5,6039734,3823531
6,6039734,6480234
7,6039734,8584084
8,6039734,4865283
9,6039734,3871556
10,6039734,9085992
11,6039734,1289636
12,6039734,1545110
13,6039734,6573559
14,6039734,1427353
15,6039734,4741497
16,6039734,2625914
17,6039734,5403487
18,6039734,2045224
19,6039734,2069265
20,6039734,5965396
21,6039734,7891838
22,6039734,1353420
23,6039734,2066437
24,6039734,9031847
25,6039734,3223948
26,6039734,6418092
27,6039734,5815978
28,6039734,6017591
29,6039734,4356468
30,3061111,5876745
31,3061111,1570785
32,3061111,9659856
33,3061111,6300454
34,3061111,5262646
35,3061111,6544671
36,3061111,3823531
37,3061111,4747658
38,3061111,1301156
39,3061111,6260400
40,3061111,8847502
41,3061111,6128774
42,3061111,4214419
43,3061111,5582610
44,3061111,5460402
45,3061111,6828173
46,3061111,3335969
47,3061111,4741497
48,3061111,6299956
49,3061111,6463952
50,3061111,5053937
51,3061111,2069265
52,3061111,4303195
53,3061111,7891838
54,3061111,6677164
55,3061111,3223948
56,3061111,2920966
57,3061111,5743434
58,2805021,3393729
59,2805021,7635375
60,2805021,2157609
61,2805021,2449597
62,2805021,6620713
63,2805021,4747658
64,2805021,1936377
65,2805021,6260400
66,2805021,4865283
67,2805021,6128774
68,2805021,1825969
69,2805021,3335969
70,2805021,1427353
71,2805021,1385403
72,2805021,5403487
73,2805021,1335895
74,2805021,6463952
75,2805021,2069265
76,2805021,5132688
77,2805021,1353420
78,2805021,6677164
79,2805021,8268517
80,2805021,3223948
81,2805021,5471581
82,2805021,5743434
83,5424224,5876745
84,5424224,2157609
85,5424224,5262646
86,5424224,2116985
87,5424224,4747658
88,5424224,1301156
89,5424224,1936377
90,5424224,4865283
91,5424224,8847502
92,5424224,3871556
93,5424224,9085992
94,5424224,1289636
95,5424224,5582610
96,5424224,5460402
97,5424224,1545110
98,5424224,6828173
99,5424224,1256084
100,5424224,6062599
101,5424224,4741497
102,5424224,5403487
103,5424224,1335895
104,5424224,2045224
105,5424224,7891838
106,5424224,2066437
107,5424224,8268517
108,5424224,9031847
109,5424224,5471581
110,5424224,6418092
111,5424224,2920966
112,5424224,7317438
113,5424224,9612606
114,5424224,4356468
115,6585115,5876745
116,6585115,1570785
117,6585115,7358008
118,6585115,5262646
119,6585115,6544671
120,6585115,4747658
121,6585115,1396671
122,6585115,1301156
123,6585115,8584084
124,6585115,4865283
125,6585115,8847502
126,6585115,9326722
127,6585115,3871556
128,6585115,4214419
129,6585115,5582610
130,6585115,1545110
131,6585115,1256084
132,6585115,2706382
133,6585115,6299956
134,6585115,3544111
135,6585115,6463952
136,6585115,9733001
137,6585115,5132688
138,6585115,6677164
139,6585115,2066437
140,6585115,9031847
141,6585115,2920966
142,6585115,6017591
143,6585115,9612606
144,5175150,3393729
145,5175150,6300454
146,5175150,9444027
147,5175150,6620713
148,5175150,2116985
149,5175150,3823531
150,5175150,1396671
151,5175150,4445414
152,5175150,6260400
153,5175150,4865283
154,5175150,8847502
155,5175150,1289636
156,5175150,5460402
157,5175150,3335969
158,5175150,2625914
159,5175150,5403487
160,5175150,6463952
161,5175150,2069265
162,5175150,3223948
163,5175150,5471581
164,5175150,6418092
165,5175150,2920966
166,5175150,5815978
167,5175150,7317438
168,5175150,4356468
169,3966840,1446683
170,3966840,9659856
171,3966840,6300454
172,3966840,4747658
173,3966840,6480234
174,3966840,1301156
175,3966840,1936377
176,3966840,8584084
177,3966840,3322514
178,3966840,6128774
179,3966840,9085992
180,3966840,1289636
181,3966840,3544111
182,3966840,6463952
183,3966840,5053937
184,3966840,2069265
185,3966840,9733001
186,3966840,7891838
187,3966840,6017591
188,8061344,1446683
189,8061344,1570785
190,8061344,7635375
191,8061344,6300454
192,8061344,7358008
193,8061344,9444027
194,8061344,5262646
195,8061344,3747072
196,8061344,6620713
197,8061344,6859693
198,8061344,6480234
199,8061344,6260400
200,8061344,3322514
201,8061344,8847502
202,8061344,6128774
203,8061344,5582610
204,8061344,1825969
205,8061344,6828173
206,8061344,1256084
207,8061344,2706382
208,8061344,4741497
209,8061344,2625914
210,8061344,1335895
211,8061344,5053937
212,8061344,2069265
213,8061344,9733001
214,8061344,5965396
215,8061344,6803121
216,8061344,6677164
217,8061344,8268517
218,8061344,9031847
219,8061344,5471581
220,8061344,2920966
221,8061344,7317438
222,8061344,5743434
